HEADWORD;DEFINITION;PART OF SPEECH;SEMANTIC GROUP;FREQUENCY RANK
πούς ποδός, ὁ;پا;اسم (صرف سوم مختوم به صامت);اجزا بدن;221
ἱερός –ά –όν;مقدس، فرازمینی;صفت (صرف اول و دوم);دین;222
εὐθύς εὐθεῖα εὐθύ;مستقیما، یک راست، قید: فورا;صفت (مختوم به ύς، ύ و εῖα);سنجش و شمارش;223
εἶμι, infin. ἰέναι, ptc. ἰών, ἰοῦσα, ἰόν;خواهم رفت (آینده‌ی فعل ἔρχομαι);فعل (مختوم به μι);حرکت;224
ταχύς ταχεῖα ταχύ;سریع، تند;صفت (مختوم به ύς، ύ و εῖα);خصوصیات;225
ποταμός –οῦ, ὁ;رود;اسم (صرف دوم);زمین;226
οὐσία οὐσίας, ἡ;ذات، جوهر، اساس;اسم (صرف اول);روابط، خانه و خانواده;227
ἀριθμός –οῦ, ὁ;شمار;اسم (صرف دوم);سنجش و شمارش;228
ὕστερος ὑστέρα ὕστερον;آخری، پسین، بعد از (+اضافی);صفت (صرف اول و دوم);جهت;229
φυλάσσω, φυλάξω, ἐφύλαξα, πεφύλαχα, πεφύλαγμαι, ἐφυλάχθην;نگهبانی کردن ، دفاع کردن. وجه میانی: از کسی در مقابل چیزی دفاع کردن (+رایی);فعل (مختوم به صامت کامی);جنگ و صلح;230
καιρός καιροῦ, ὁ;فرصت;اسم (صرف دوم);زمان;231
οἰκέω, οἰκήσω, ᾤκησα, ᾤκηκα, ᾠκήθην;ساکن شدن، مستقر شدن;فعل (ادغام شده);روابط، خانه و خانواده;232
ἀμφότερος ἀμφοτέρα ἀμφότερον;هر دو;صفت (صرف اول و دوم);سنجش و شمارش;233
σημεῖον σημείου, τό;نشانه، علامت;اسم (صرف دوم);یافتن و نمایاندن;234
παρέχω, παρέξω, παρέσχον, παρέσχηκα, impf. παρεῖχον;تامین کردن، تدارک دیدن، اعطا کردن;فعل (مختوم به صامت کامی);مبادلات ;235
ἑκάτερος ἑκατέρα ἑκάτερον;یکی از آن/ این دو ( متضاد ἀμφότερος);ضمیر;ضمیر/ادات پرسش;236
δηλόω, δηλώσω, ἐδήλωσα, δεδήλωκα, ἐδηλώθην;آشکار ساختن، نمایان کردن، شرح دادن;فعل (ادغام شده);یافتن و نمایاندن;237
οἰκεῖος οἰκεία οἰκεῖον;خانگی، خودی، سازگار;صفت (صرف اول و دوم);روابط، خانه و خانواده;238
κελεύω, κελεύσω, ἐκέλευσα, κεκέλευκα, κεκέλευσμαι, ἐκελεύσθην;امر کردن، فرمان دادن (+رایی و اسم مصدر);فعل (مختوم به مصوت);عدل و داد;239
τέλος τέλους, τό;پایان، برآمد، دستاورد;اسم (صرف سوم مختوم به σ);مرگ و زندگی;240
ἡγέομαι, ἡγήσομαι, ἡγησάμην, ἥγημαι;رهبری کردن، صلاح دانستن، باور داشتن;فعل (مجهول‌نما);ذهن، دریافت، و یادگیری;241
ἄξιος ἀξία ἄξιον;شایسته، سزاوار;صفت (صرف اول و دوم);اخلاق و ارزش‌ها;242
ἦ;به راستی، واقعا (قید تاکید);قید;ادات;243
δῆλος δήλη δῆλον;آشکار، مشهود;صفت (صرف اول و دوم);یافتن و نمایاندن;244
τοίνυν (τοί-νυν);"بنابراین، در نتیجه؛ علاوه بر این";قید;ادات;245
πολέμιος πολεμία πολέμιον;دشمن;صفت (صرف اول و دوم);جنگ و صلح;246
ἔρομαι, ἐρήσομαι, 2 aor. ἠρόμην;سراغ گرفتن، جویا شدن (+رایی);فعل (مجهول‌نما);گفتن و نوشتن;247
ἀδελφός –οῦ, ὁ;برادر;اسم (صرف دوم);روابط، خانه و خانواده;248
μέγεθος μεγέθους, τό;بزرگی، عظمت، اندازه;اسم (صرف سوم مختوم به σ);سنجش و شمارش;249
εἴτε…εἴτε;یا... یا...، یا این و یا آن;حرف ربط هم‌پایه‌ساز;حرف ربط/ قید;250
κεῖμαι, κείσομαι;آرمیدن، قرار گرفتن، جای گرفتن، گماشته شدن;فعل (مجهول‌نما);کار و فراغت;251
πολλάκις;اغلب;قید;زمان;252
πίνω, πίομαι, 2 aor. ἔπιον, πέπωκα, -πέπομαι, -επόθην;نوشیدن;فعل (مختوم به صامت روان);ادراکات و احساسات;253
χάρις χάριτος, ἡ;شکوه، جلال، لطف، سرافرازی;اسم (صرف سوم مختوم به صامت);اخلاق و ارزش‌ها;254
ἔπειτα;پس، سپس;قید;زمان;255
ζητέω, ζητήσω, ἐζήτησα, ἐζήτηκα;جستجو کردن، جویا شدن;فعل (ادغام شده);یافتن و نمایاندن;256
σχῆμα σχήματος, τό;صورت، شکل، ظاهر، نقش;اسم (صرف سوم مختوم به صامت);سنجش و شمارش;257
τροφή τροφῆς, ἡ;خوراک، پرورش;اسم (صرف اول);مرگ و زندگی;258
μανθάνω, μαθήσομαι, ἔμαθον, μεμάθηκα;آموختن، یاد گرفتن، فهمیدن، عادت داشتن;فعل (مختوم به صامت روان);ذهن، دریافت، و یادگیری;259
ἐνταῦθα;اینجا، در این هنگام;قید;جهت;260
φεύγω, φεύξομαι, ἔφυγον, πέφευγα;گریختن، رانده‌ شدن;فعل (مختوم به صامت کامی);حرکت;261
ἵππος ἵππου, ὁ;اسب;اسم (صرف دوم);گیاهان و جانداران;262
κόσμος κόσμου, ὁ;نظم، آرایش، آذین، کیهان، گیتی;اسم (صرف دوم);نظم جهانی;263
αἷμα αἵματος, τό;خون;اسم (صرف سوم مختوم به صامت);اجزا بدن;264
αἱρέω, αἱρήσω, 2 aor. εἷλον, ᾕρηκα, ᾕρημαι, ᾑρέθην;"گرفتن، به چنگ آوردن؛ میانی: گزیدن";فعل (ادغام شده);مبادلات ;265
προστίθημι, προσθήσω, προσέθηκα, προστέθηκα, προστέθειμαι (but commonly προσκεῖμαι instead), προσετέθην;افزودن، واگذاردن . میانی: پیوستن;فعل (مختوم به μι);مبادلات ;266
ἀξιόω, ἀξιώσω, ἠξίωσα, ἠξίωκα, ἠξίωμαι, ἠξιώθην;لایق دانستن، طلب کردن;فعل (ادغام شده);اخلاق و ارزش‌ها;267
ἕως;تا;حرف ربط وابسته‌ساز;زمان;268
νέος νέα νέον;نو، جوان;صفت (صرف اول و دوم);خصوصیات;269
ἔοικα, ptc. εἰκώς;به نظر رسیدن، شبیه بودن (+برایی)، درخور بودن;فعل (بی‌قاعده);خصوصیات;270
κἄν (καὶ-ἄν);مگر;حرف ربط وابسته‌ساز;حرف ربط/ قید;271
καθίστημι, καταστήσω, κατέστησα, κατέστην, καθέστηκα, plupf. καθειστήκη, κατεστάθην;برپا کردن، برقرار کردن;فعل (مختوم به μι);کار و فراغت;272
τέχνη τέχνης, ἡ;مهارت، حیله، نیرنگ، فن;اسم (صرف اول);جامعه و حکومت;273
χρῆμα χρήματος, τό;چیز، امر، پول، مال و منال;اسم (صرف سوم مختوم به صامت);جامعه و حکومت;274
σῴζω, σώσω, ἔσωσα, σέσωκα, ἐσώθην;نجات دادن، حفظ کردن;فعل (مختوم به صامت دندانی);امنیت و سلامت;275
πέμπω, πέμψω, ἔπεμψα, πέπομφα, πέπεμμαι, ἐπέμφθην;فرستادن;فعل (مختوم به صامت لبی);حرکت;276
φωνή φωνῆς, ἡ;صدا، آوا;اسم (صرف اول);ادراکات و احساسات;277
ἕνεκα;به خاطر;حرف اضافه;حرف اضافه بدون جهت;278
ἀπόλλυμι, ἀπολῶ, ἀπώλεσα, 2 aor. mid. ἀπωλόμην, pf. ἀπολώλεκα (“I have utterly destroyed”) or ἀπόλωλα (“I am undone”);کشتن ، نابود کردن (میانی) تلف شدن، مردن;فعل (مختوم به μι);مرگ و زندگی;279
θάνατος θανάτου, ὁ;مرگ;اسم (صرف دوم);مرگ و زندگی;280
νύξ νυκτός, ἡ;شب;اسم (صرف سوم مختوم به صامت);نظم جهانی;281
ὁδός ὁδοῦ, ἡ;راه، روش;اسم (صرف دوم);جامعه و حکومت;282
ἔθνος ἔθνους, τό;قوم;اسم (صرف سوم مختوم به σ);جامعه و حکومت;283
ἀποδίδωμι, ἀποδώσω, ἀπέδωκα, ἀποδέδωκα, ἀποδέδομαι, ἀπεδόθην;"برگرداندن، تحویل دادن، اجازه دادن؛ میانی: فروختن";فعل (مختوم به μι);مبادلات ;284
νοῦς (νόος), νοῦ (νόου), ὁ;ذهن، ادراک;اسم (صرف دوم);ذهن، دریافت، و یادگیری;285
μένω, μενῶ, ἔμεινα, μεμένηκα;ماندن، دوام آوردن;فعل (مختوم به صامت روان);حرکت;286
ἀποθνῄσκω, ἀποθανοῦμαι, 2 aor. ἀπέθανον, ἀποτέθνηκα;مردن;فعل (مختوم به صامت کامی);مرگ و زندگی;287
πάνυ;یکسره، کاملا;قید;حرف ربط/ قید;288
εὖ;به نیکی، به خوبی، به درستی;قید;حرف ربط/ قید;289
κρίνω, κρινῶ, ἔκρινα, κέκρικα, κέκριμαι, ἐκρίθην;تمییز دادن،  تعیین کردن، تصمیم گرفتن، حکم دادن;فعل (مختوم به صامت روان);عدل و داد;290
ἀναιρέω, ἀναιρήσω, ἀνεῖλον, ἀνῄρηκα, ἀνῄρημαι, ἀνῃρέθην;برداشتن، بالا بردن، نابود کردن;فعل (ادغام شده);جنگ و صلح;291
μακρός –ά –όν;بلند، طولانی، بزرگ;صفت (صرف اول و دوم);سنجش و شمارش;292
ἥκω, ἥξω, pf. ἧκα;حضور داشتن، رسیدن;فعل (مختوم به صامت کامی);حرکت;293
ἡδονή –ῆς, ἡ;لذت، خوشی;اسم (صرف اول);کار و فراغت;294
μήτηρ μητρός, ἡ;مادر;اسم (صرف سوم، بی‌قاعده);روابط، خانه و خانواده;295
δεινός –ή –όν;شگفت، مهیب، زیرک، هوشمند;صفت (صرف اول و دوم);خصوصیات;296
διαφορά –ᾶς, ἡ;تفاوت، اختلاف;اسم (صرف اول);عدل و داد;297
κρατέω, κρατήσω, ἐκράτησα, κεκράτηκα, κεκράτημαι, ἐκρατήθην;فرمان‌روایی کردن، قدرت به دست گرفتن، برتر بودن (+اضافی);فعل (ادغام شده);جامعه و حکومت;298
δῆμος δήμου, ὁ;عوام، مردم;اسم (صرف دوم);انسان و هستی;299
οὐρανός –οῦ, ὁ;عرش، آسمان;اسم (صرف دوم);نظم جهانی;300
ἕπομαι ἕψομαι, 2 aor. ἑσπόμην;پیروی کردن، دنبال کردن;فعل (مجهول‌نما);حرکت;301
ἥσσων ἧσσον;کمتر، ضعیف‌تر، پست‌تر;صفت (صرف سوم مختوم به ων و ον);خصوصیات;302
ὄρος ὄρους, τό;کوه، تپه;اسم (صرف سوم مختوم به σ);زمین;303
πλήν;به جز، غیر از;حرف اضافه;حرف اضافه بدون جهت;304
τέτταρες τέτταρα;چهار;صفت (شمارشی);سنجش و شمارش;305
δυνατός –ή –όν;توانا، نیرومند;صفت (صرف اول و دوم);خصوصیات;306
οἶκος οἴκου, ὁ;مسکن، خانه، سرا;اسم (صرف دوم);روابط، خانه و خانواده;307
ἄριστος ἀρίστη ἄριστον;بهترین، نیکوترین;صفت (صرف اول و دوم);اخلاق و ارزش‌ها;308
ῥᾴδιος ῥᾳδία ῥᾴδιον;آسان، سهل;صفت (صرف اول و دوم);خصوصیات;309
ἀφαιρέω, ἀφαιρήσω, ἀφεῖλον, ἀφῄρηκα, ἀφῄρημαι, ἀφῃρέθην;جدا کردن;فعل (ادغام شده);مبادلات ;310
τύχη τύχης, ἡ; بخت، اقبال، طالع;اسم (صرف اول);مرگ و زندگی;311
φανερός –ά –όν;واضح، نمایان، مشهود;صفت (صرف اول و دوم);ادراکات و احساسات;312
πρόσωπον προσώπου, τό;رخ، سیما، نقاب، شخص;اسم (صرف دوم);اجزا بدن;313
πιστεύω, πιστεύσω, ἐπίστευσα, πεπίστευκα, πεπίστευμαι, ἐπιστεύθην;اعتماد کردن، باور داشتن (+برایی);فعل (مختوم به مصوت);ادراکات و احساسات;314
διδάσκω, διδάξω, ἐδίδαξα, δεδίδαχα, δεδίδαγμαι, ἐδιδάχθην;آموختن;فعل (مختوم به صامت کامی);ذهن، دریافت، و یادگیری;315
ἄνω;بالا، بالادست، رو به بالا;قید;جهت;316
τάσσω, τάξω, ἔταξα, τέταχα, τέταγμαι, ἐτάχθην;در صف آوردن، سازمان دادن، آراستن;فعل (مختوم به صامت کامی);جامعه و حکومت;317
ὀφθαλμός –οῦ, ὁ;چشم;اسم (صرف دوم);اجزا بدن;318
δέχομαι, δέξομαι, ἐδεξάμην, δέδεγμαι, -εδέχθην;گرفتن، پذیرفتن، دریافت کردن;فعل (مجهول‌نما);روابط، خانه و خانواده;319
ἀφικνέομαι, ἀφίξομαι, 2 aor. ἀφικόμην, ἀφῖγμαι;آمدن، رسیدن;فعل (مجهول‌نما);حرکت;320
ἱκανός –ή –όν;بسنده، کافی، قابل;صفت (صرف اول و دوم);امنیت و سلامت;321
ἐργάζομαι, ἐργάσομαι, εἰργασάμην, εἴργασμαι;کار کردن، زحمت کشیدن، کوشیدن;فعل (مجهول‌نما);کار و فراغت;322
μάχη μάχης, ἡ;نبرد، رزم;اسم (صرف اول);جنگ و صلح;323
τρέφω, θρέψω, ἔθρεψα, τέθραμμαι, ἐτράφην;پروراندن، رشد دادن، نگهداری کردن، تربیت کردن;فعل (مختوم به صامت لبی);مرگ و زندگی;324
ἀδύνατος –ον;ناتوان، ناممکن;صفت (صرف اول و دوم);جامعه و حکومت;325
ἀκριβής –ές;دقیق;صفت (مختوم به ης و ες);سنجش و شمارش;326
που;"کجا؟؛ آنجا، جایی؛ شاید ";قید;ادات;327
ὅθεν;آنجا که، از جایی که، از آنجا، از آن رو;قید;جهت;328
στόμα στόματος, τό;دهان، دهانه، رو;اسم (صرف سوم مختوم به صامت);اجزا بدن;329
χωρίς;جداگانه، بدون، مستقل از;قید;جهت;330
κρείσσων κρεῖσσον;نیرومندتر، قوی‌تر، برتر، بهتر;صفت (صرف سوم مختوم به ων و ον);خصوصیات;331
βραχύς βραχεῖα βραχύ;کوتاه، کوچک;صفت (مختوم به ύς، ύ و εῖα);خصوصیات;332
ἰσχυρός –ά –όν;نیرومند، قدرتمند;صفت (صرف اول و دوم);خصوصیات;333
ἀλήθεια ἀληθείας, ἡ;حقیقت;اسم (صرف اول);اخلاق و ارزش‌ها;334
δίκη δίκης, ἡ;عدل، داد، داوری، محاکمه، مجازات;اسم (صرف اول);عدل و داد;335
χωρίον χωρίου, τό;محل، جا، مکان;اسم (صرف دوم);زمین;336
ἡδύς ἡδεῖα ἡδύ;شیرین، مطبوع، دلپذیر;صفت (مختوم به ύς، ύ و εῖα);خصوصیات;337
νόσος νόσου, ὁ;بیماری، ناخوشی;اسم (صرف دوم);مرگ و زندگی;338
λίθος λίθου, ὁ;سنگ;اسم (صرف دوم);زمین;339
παλαιός –ά –όν;کهن، دیرینه;صفت (صرف اول و دوم);خصوصیات;340
ἀφίημι, ἀφήσω, ἀφῆκα, ἀφεῖκα, ἀφεῖμαι, ἀφείθην;رها کردن، آزاد ساختن، دست برداشتن;فعل (مختوم به μι);مبادلات ;341
ἄλλως;وگرنه;قید;ضمیر/ادات پرسش;342
πρᾶξις πράξεως, ἡ;معامله، داد و ستد، عمل، کنش;اسم (صرف سوم مختوم به ι);کار و فراغت;343
σαφής σαφές;واضح، روشن، ساده;صفت (مختوم به ης و ες);یافتن و نمایاندن;344
σοφός –ή –όν;خردمند، هوشمند، کاردان;صفت (صرف اول و دوم);خصوصیات;345
νικάω, νικήσω, ἐνίκησα, νενίκηκα, νενίκημαι, ἐνικήθην;پیروز شدن، مغلوب کردن;فعل (ادغام شده);جنگ و صلح;346
ὁμολογέω, ὁμολογήσω, ὡμολόγησα, ὡμολόγηκα, ὡμολόγημαι, ὡμολογήθην;موافق بودن،  هم رای بودن (+برایی);فعل (ادغام شده);عدل و داد;347
ναός (νεώς) ναοῦ (νεώ), ὁ;معبد، پرستشگاه;اسم (صرف دوم);دین;348
αὖ, αὖθις;باز، دوباره;قید;ادات;349
πατρίς πατρίδος, ἡ;میهن، وطن;اسم (صرف سوم مختوم به صامت);جامعه و حکومت;350
ὀξύς ὀξεῖα ὀξύ;تند، تیز، زیر (برای صدا);صفت (مختوم به ύς، ύ و εῖα);خصوصیات;351
καίτοι (καί-τοι);به راستی، با این حال;قید;ادات;352
πλέον;اغلب، عموما;قید;سنجش و شمارش;353
πλέων πλέον;بیشتر، بزرگتر، فراوان‌تر;صفت (صرف سوم مختوم به ων و ον);سنجش و شمارش;354
γνώμη γνώμης, ἡ;اندیشه، پندار، فهم، نیت، غرض;اسم (صرف اول);ذهن، دریافت، و یادگیری;355
τιμή τιμῆς, ἡ;شکوه، افتخار، ارج، ارزش، مقام;اسم (صرف اول);اخلاق و ارزش‌ها;356
μεταξύ;میان، بین;قید;جهت;357
προσήκω προσήξω;"ربط داشتن، تعلق داشتن، درخور بودن؛ οἱ προσήκοντες: خویشاوندان τὰ προσήκoντα: وظایف";فعل (مختوم به صامت کامی);اخلاق و ارزش‌ها;358
πρίν;پیش، قبل;حرف ربط وابسته‌ساز;زمان;359
ἀδικέω, ἀδικήσω, ἠδίκησα, ἠδίκηκα, ἠδίκημαι, ἠδικήθην;اشتباه کردن، آسیب زدن;فعل (ادغام شده);اخلاق و ارزش‌ها;360
στρατηγός –οῦ, ὁ;فرمانده، سرلشکر;اسم (صرف دوم);جنگ و صلح;361
οὐκέτι;دیگر نه;قید;زمان;362
πρέσβυς πρέσβεως, ὁ;پیرمرد، سفرا (در حالت جمع);اسم (مختوم به έως و εύς);جامعه و حکومت;363
παύω, παύσω, ἔπαυσα, πέπαυκα, πέπαυμαι, ἐπαύθην;متوقف کردن، پایان دادن;فعل (مختوم به مصوت);حرکت;364
τελευτάω, τελευτήσω, ἐτελεύτησα, τετελεύτηκα, τετελεύτημαι, ἐτελευτήθην;به پایان رسانیدن، مردن، به سرانجام رسانیدن;فعل (ادغام شده);مرگ و زندگی;365
μίγνυμι, μείξω, ἔμειξα, μέμειγμαι, ἐμείχθην;آمیختن;فعل (مختوم به μι);کار و فراغت;366
λαός λαοῦ, ὁ;مردم;اسم (صرف دوم);انسان و هستی;367
θυγάτηρ θυγατρός, ἡ;دختر;اسم (صرف سوم، بی‌قاعده);روابط، خانه و خانواده;368
οἰκία οἰκίας, ἡ;خانه، ساختمان;اسم (صرف اول);روابط، خانه و خانواده;369
παραδίδωμι, παραδώσω, παρέδωκα, παραδέδωκα, παραδέδομαι, παρεδόθην;واگذاردن، تسلیم کردن، تسلیم شدن;فعل (مختوم به μι);مبادلات ;370
ἔξω;بیرون، بیرون از ، غیر از;قید;جهت;371
νῆσος νήσου, ἡ;جزیره;اسم (صرف دوم);زمین;372
ἐκεῖ;آنجا;قید;جهت;373
ἐπιστήμη –ης, ἡ; فهم، مهارت، دانش;اسم (صرف اول);ذهن، دریافت، و یادگیری;374
ἐάω, ἐάσω, εἴασα;اجازه دادن، گذاشتن، رها کردن (+رایی و اسم مصدر);فعل (ادغام شده);عدل و داد;375
θαυμάζω, θαυμάσομαι, ἐθαύμασα, τεθαύμακα, τεθαύμασμαι, ἐθαυμάσθην;حیرت کردن، شگفت‌زده شدن;فعل (مختوم به صامت دندانی);ادراکات و احساسات;376
αἰσθάνομαι, αἰσθήσομαι, 2 aor. ᾐσθόμην, ᾔσθημαι;فهمیدن، ، درک کردن، گوش دادن;فعل (مجهول‌نما);ذهن، دریافت، و یادگیری;377
χαίρω, χαιρήσω, κεχάρηκα, κεχάρημαι, ἐχάρην;خوش بودن، از چیزی لذت بردن (+برایی یا مصدر وصفی);فعل (مختوم به صامت روان);ادراکات و احساسات;378
χαλεπός –ή –όν;سخت، دشوار;صفت (صرف اول و دوم);خصوصیات;379
τέκνον τέκνου, τό;کودک، بچه;اسم (صرف دوم);روابط، خانه و خانواده;380
καταλαμβάνω, καταλήψομαι, κατέλαβον, κατείληφα, κατείλημμαι, κατελήφθην;به دست آوردن، مصادره کردن، به چنگ آوردن، غلبه کردن، وا داشتن;فعل (مختوم به صامت روان);جنگ و صلح;381
μάχομαι, μαχοῦμαι, ἐμαχεσάμην, μεμάχημαι;جنگیدن، جدل کردن;فعل (مجهول‌نما);جنگ و صلح;382
μιμνήσκω, -μνήσω, -έμνησα, pf. μέμνημαι, ἐμνήσθην; به یاد آوردن، یاد آوری کردن;فعل (مختوم به صامت کامی);ذهن، دریافت، و یادگیری;383
λύω, λύσω, ἔλυσα, λέλυκα, λέλυμαι, ἐλύθην;رهاندن، باز کردن، آزاد کردن، نابود کردن;فعل (مختوم به مصوت);جنگ و صلح;384
θνῄσκω, 2 aor. -έθανον, τέθνηκα, θανοῦμαι;مردن;فعل (مختوم به صامت کامی);مرگ و زندگی;384
τιμάω, τιμήσω, ἐτίμησα, τετίμηκα, τετίμημαι, ἐτιμήθην;گرامی داشتن;فعل (ادغام شده);اخلاق و ارزش‌ها;386
τεῖχος τείχους, τό;دیوار;اسم (صرف سوم مختوم به σ);جامعه و حکومت;387
ἴσως;به یک اندازه، به مساوات، شاید;قید;حرف ربط/ قید;388
αἴρω, ἀρῶ, ἦρα, ἦρκα, ἦρμαι, ἤρθην;بالا رفتن، بالا بردن، برداشتن;فعل (مختوم به صامت کامی);حرکت;389
ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα, ἀπέκτονα;کشتن;فعل (مختوم به صامت روان);جنگ و صلح;390
στρατιώτης –ου, ὁ;سرباز;اسم (صرف دوم);جنگ و صلح;391
ἄνευ;بدون (+اضافی);حرف اضافه;حرف اضافه بدون جهت;392
πότερος ποτέρα πότερον;کدام یک (از این دو)؟;صفت (صرف اول و دوم);ضمیر/ادات پرسش;393
ἁπλῶς;به تنهایی، به سادگی، در یک صورت;قید;سنجش و شمارش;394
πίπτω, πεσοῦμαι, ἔπεσον, πέπτωκα; افتادن، فرو افتادن;فعل (مختوم به صامت دندانی);جنگ و صلح;395
τέταρτος –η –ον;چهارم;صفت (شمارشی);سنجش و شمارش;396
κατασκευάζω, κατασκευάσω, κατεσκεύασα;آماده ساختن، تجهیز کردن;فعل (مختوم به صامت دندانی);کار و فراغت;397
ἐχθρός –ά –όν;منفور، دشمن;صفت (صرف اول و دوم);خصوصیات;398
ἀγών ἀγῶνος, ὁ;مسابقه، مبارزه، همایش;اسم (صرف سوم مختوم به صامت);جامعه و حکومت;399
κωλύω, κωλύσω, ἐκώλυσα, κεκώλυκα, κεκώλυμαι, ἐκωλύθην;بازداشتن، مانع شدن;فعل (مختوم به مصوت);جنگ و صلح;400
ἁμαρτάνω, ἁμαρτήσομαι, ἡμάρτησα, 2 aor. ἥμαρτον, ἡμάρτηκα, ἡμάρτημαι, ἡμαρτήθην;خطا زدن، اشتباه کردن;فعل (مختوم به صامت روان);اخلاق و ارزش‌ها;401
διαφθείρω, διαφθερῶ, διέφθειρα, διέφθαρκα, διέφθαρμαι, διεφθάρην;خراب کردن، نابود کردن، فاسد کردن;فعل (مختوم به صامت روان);جنگ و صلح;402
πως;به نحوی، به طرز;قید;ادات;403
πόνος πόνου, ὁ;زحمت، کوشش، رنج;اسم (صرف دوم);کار و فراغت;404
ἔνθα;آنجا;قید;جهت;405
τάξις τάξεως, ἡ; ترتیب، نظم، آرایش نظامی، ارتش;اسم (صرف سوم مختوم به ι);جنگ و صلح;406
πειράω (usually mid. πειράομαι), πειράσομαι, ἐπείρασα, πεπείραμαι, ἐπειράθην; تلاش کردن، کوشیدن، آزمودن (+اضافی);فعل (ادغام شده);کار و فراغت;407
φοβέω, φοβήσω, ἐφόβησα, πεφόβημαι, ἐφοβήθην; ترساندن، گریزاندن (میانی و مجهول: گریختن، هراسیدن);فعل (ادغام شده);ادراکات و احساسات;408
βάλλω, βαλῶ, 2 aor. ἔβαλον, βέβληκα, βέβλημαι, ἐβλήθην; انداختن، زدن (با چیزی)، پرتاب کردن;فعل (مختوم به صامت روان);حرکت;409
πονηρός –ά –όν;بی ارزش، پر زحمت، بد، پلید;صفت (صرف اول و دوم);خصوصیات;410
ξένος ξένου, ὁ;غریبه، مهمان;اسم (صرف دوم);جامعه و حکومت;411
βάρβαρος –ον;بربر، غیر یونانی، بیگانه;صفت (صرف اول و دوم);جامعه و حکومت;412
ὅπου;هر جا ، جایی;حرف ربط وابسته‌ساز;حرف ربط/ قید;413
συμφέρω, συνοίσω, 1 aor. συνήνεγκα;سود داشتن، مفید بودن (+برایی) συμφέρει: مصلحت است که  τὸ συμφέρον: سود، منفعت ;فعل (بی‌قاعده);امنیت و سلامت;414
πυνθάνομαι, πεύσομαι, 2 aor. ἐπυθόμην, πέπυσμαι; فراگرفتن، شنیدن، نیوشیدن، جویا شدن;فعل (مجهول‌نما);ذهن، دریافت، و یادگیری;415
δοῦλος δούλου, ὁ;برده;اسم (صرف دوم);جامعه و حکومت;416
τέμνω, τεμῶ, 2 aor. ἔτεμον, -τέτμηκα, τέτμημαι, ἐτμήθην;بریدن، تکه کردن، خرد کردن;فعل (مختوم به صامت روان);جنگ و صلح;417
χρήσιμος χρησίμη χρήσιμον;سودمند، مفید;صفت (صرف اول و دوم);خصوصیات;418
ποῖος ποία ποῖον;چه، که;صفت (صرف اول و دوم);ضمیر/ادات پرسش;419
ὅπλον ὅπλου, τό;سلاح، ابزار، اسباب;اسم (صرف دوم);جنگ و صلح;420
πίστις πίστεως, ἡ;اعتماد، راستکاری، یقین;اسم (صرف سوم مختوم به ι);ادراکات و احساسات;421
ὑπολαμβάνω, ὑπολήψομαι, ὑπέλαβον, ὑπείληφα, ὑπείλημμαι, ὑπελήφθην;تصاحب کردن، فهمیدن، انگاشتن، پاسخ دادن;فعل (مختوم به صامت روان);ذهن، دریافت، و یادگیری;422
ποιητής –οῦ, ὁ;خالق، آفریدگار، سازنده، شاعر;اسم (صرف دوم);گفتن و نوشتن;423
λανθάνω, λήσω, ἔλαθον, λέληθα;از دید دور ماندن، ؟میانی و مجهول: فراموش کردن;فعل (مختوم به صامت روان);جامعه و حکومت;424
βελτίων βέλτιον;بهتر;صفت (صرف سوم مختوم به ων و ον);اخلاق و ارزش‌ها;425
πάντως;به هر صورت، در هر حال;قید;حرف ربط/ قید;426
πορεύω, πορεύσω, ἐπόρευσα, πεπόρευμαι, ἐπορεύθην;رساندن، بردن. میانی و مجهول: رفتن، برده شدن;فعل (مختوم به مصوت);کار و فراغت;427
ἀποκρίνω, ἀποκρινῶ, ἀπεκρινάμην, ἀπεκρίθη;برگزیدن، جدا کردن. میانی: پاسخ دادن;فعل (مختوم به صامت روان);گفتن و نوشتن;428
πέντε;پنج;صفت (شمارشی);سنجش و شمارش;429
κίνδυνος κινδύνου, ὁ;خطر، مخاطره;اسم (صرف دوم);جنگ و صلح;430
κατηγορέω, κατηγορήσω, κατηγόρησα, κατηγόρηκα, κατηγόρημαι, κατηγορήθην;متهم کردن، نکوهیدن (+اضافی);فعل (ادغام شده);عدل و داد;431
τρέπω, τρέψω, ἔτρεψα, τέτροφα, ἐτράπην;چرخیدن، گردیدن، گرداندن، گریزاندن;فعل (مختوم به صامت لبی);حرکت;432
ὅμως;به هر حال، با وجود، علیرغم;قید;حرف ربط/ قید;433
θεῖος θεία θεῖον; الهی، ایزدی;صفت (صرف اول و دوم);دین;434
ἱππεύς ἱππέως, ὁ; سواره‌نظام، اسب‌سوار، سوار;اسم (مختوم به έως و εύς);جنگ و صلح;435
κτάομαι, κτήσομαι, ἐκτησάμην, κέκτημαι;به دست آوردن، گرفتن;فعل (مجهول‌نما);مبادلات ;436
λείπω, λείψω, ἔλιπον, λέλοιπα, λέλειμμαι, ἐλείφθην;واگذاشتن، رها کردن، ترک کردن;فعل (مختوم به صامت لبی);حرکت;437
βουλή βουλῆς, ἡ;عزم، اراده، مشورت، رایزنی;اسم (صرف اول);جامعه و حکومت;438
