HEADWORD;DEFINITION;PART OF SPEECH;SEMANTIC GROUP;FREQUENCY RANK
ἐκεῖνος ἐκείνη ἐκεῖνο;آن چیز، آن کس (اشاره به دور، در مقابل  οὗτος) ;ضمیر;ضمیر/ادات پرسش;54
τοιοῦτος τοιαύτη τοιοῦτο;چنان;صفت (صرف اول و دوم);ضمیر/ادات پرسش;55
οὐδείς οὐδεμία οὐδέν;هیچ;ضمیر;ضمیر/ادات پرسش;56
εἶπον;گفتن (فعل گذشته، نگاه کنید به λέγω, φημί);فعل (بی‌قاعده);گفتن و نوشتن;57
ἀγαθός –ή –όν;خوب، نیک، شایسته، نجیب، اصیل;صفت (صرف اول و دوم);اخلاق و ارزش‌ها;58
γε;بی شک، همانا (ادات تاکید متصل);قید;ادات;59
δή;حقیقتا، به راستی;قید;ادات;60
πόλις πόλεως, ἡ;شهر، دولت‌شهر، جامعه;اسم (صرف سوم مختوم به ι);جامعه و حکومت;61
εἷς μία ἕν;یک;صفت (شمارشی);سنجش و شمارش;62
ἵημι, ἥσω, ἧκα, -εἷκα, εἷμαι, -εἵθην;"رها کردن، پرتاب کردن؛ میانی: شتافتن، عجله کردن";فعل (مختوم به μι);کار و فراغت;63
δέω, δεήσω, ἐδέησα, δεδέηκα, δεδέημαι, ἐδεήθην;نیاز داشتن، چیزی را کم داشتن، فاقد چیزی بودن (+اضافی);فعل (ادغام شده);مبادلات ;64
ἄνθρωπος –ου, ὁ/ἡ;انسان;اسم (صرف دوم);انسان و هستی;65
ὁράω, ὄψομαι, 2 aor. εἶδον, ἑόρακα and ἑώρακα, ὤφθην, impf. ἑώρων;دیدن، نگریستن;فعل (ادغام شده);ادراکات و احساسات;66
μόνος μόνη μόνον;تنها، منفرد;صفت (صرف اول و دوم);سنجش و شمارش;67
οὔτε...οὔτε;"نه... و نه...؛ نه این و نه آن";حرف ربط هم‌پایه‌ساز;حرف ربط/ قید;68
οἷος οἵα οἷον;" چه، به نشان تعجب. (مثال: چه آتشی!)؛ οἷός τε +اسم مصدر: می‌توان... ؛ οἷόν τε+ اسم مصدر: ممکن است...";صفت (صرف اول و دوم);ضمیر/ادات پرسش;69
λαμβάνω, λήψομαι, ἔλαβον, εἴληφα, εἴλημμαι, ἐλήφθην;گرفتن، به چنگ آوردن، به دست آوردن، دریافت کردن;فعل (مختوم به صامت روان);مبادلات ;70
δοκέω, δόξω, ἔδοξα;"پنداشتن، انگاشتن، فرض کردن (+رایی و اسم مصدر)؛ δοκεῖ μοι: به نظرم می رسد";فعل (مختوم به صامت کامی);ذهن، دریافت، و یادگیری;71
ἕτερος ἑτέρα ἕτερον;دیگر، آن یکی (از یک جفت);صفت (صرف اول و دوم);ضمیر/ادات پرسش;72
κακός –ή –όν;بد، زشت، ناپسند، شرور;صفت (صرف اول و دوم);خصوصیات;73
ἀνήρ ἀνδρός, ὁ;مرد، شوهر;اسم (صرف سوم، بی‌قاعده);انسان و هستی;74
